cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
3214-2536-00,ATLAS,1A,2,0,115
3222-3107-08,ATLAS,1A,2,0,15
3222-1938-00,ATLAS,1A,2,0,149
3222-1488-00,ATLAS,1A,1,0,1510
0666-6718-00,ATLAS,1A,2,0,89
3115-2196-81,ATLAS,1A,2,0,108
3222-3049-36,ATLAS,1A,1,0,217
3177-3092-56,ATLAS,1A,1,0,150
3217-5316-00,ATLAS,1A,1,0,46
3177-3092-88,ATLAS,1A,2,0,26
3177-3092-55,ATLAS,1A,2,0,64
3222-3264-95,ATLAS,1A,1,0,265
3115-1648-02,ATLAS,1A,1,0,188
3222-3327-81,ATLAS,1A,1,0,222
3222-3179-30,ATLAS,1A,1,0,0
NA00008,ATLAS,1A,2,0,36118
NA00009,ATLAS,1A,1,0,1
3115-9159-94,ATLAS,1A,1,0,3
3115-9159-92,ATLAS,1A,0,0,0
0147-1403-03,ATLAS,1A,4,0,54
3315-0195-08,ATLAS,1A,10,0,3
3222-3145-47,ATLAS,1A,0,0,5
3216-0295-46,ATLAS,1A,1,0,19
3162-1565-00,ATLAS,1A,2,0,83
3214-0806-04,ATLAS,1A,1,0,8
0347-6200-17,ATLAS,1A,1,0,5
3222-3249-14,ATLAS,1A,0,0,1506
0347-6100-42,ATLAS,1A,1,0,7
0211-11963-33,ATLAS,1A,8,0,140
3222-1755-06,ATLAS,1A,1,0,562.97
3222-3052-80,ATLAS,1A,2,0,1271.73
NA00010,ATLAS,1A,3,0,469.65
9106-1775-18,ATLAS,1A,1,0,44.01
3222-3064-45,ATLAS,1A,1,0,1186.56
3215-7549-00,ATLAS,1A,1,0,203.98
3222-3115-90,ATLAS,1A,5,0,613.11
3222-3124-99,ATLAS,1A,0,0,88.04
3214-6235-01,ATLAS,1A,2,0,177.93
3222-1824-91,ATLAS,1A,2,0,2478.29
3222-3191-63,ATLAS,1A,1,0,2164.71
9120-0993-06,ATLAS,1A,1,0,171.24
9106-2066-98,ATLAS,1A,0,0,645.53
9106-2324-33,ATLAS,1A,0,0,318.23
3222-3255-40,ATLAS,1A,0,0,869.21
3128-2407-02,ATLAS,1A,46,0,628.65
3217-9581-62,ATLAS,1A,2,0,67.06
3217-9581-64,ATLAS,1A,2,0,49.01
3222-3231-03,ATLAS,1A,1,0,1100
3115-1880-90,ATLAS,1A,1,0,80.97
3176-0012-99,ATLAS,1A,2,0,231.61
3222-1756-04,ATLAS,1A,0,0,86.77
0823-0090-06,ATLAS,1A,2,0,269.81
3115-0286-00,ATLAS,1A,5,0,443.05
3115-0267-00,ATLAS,1A,5,0,12.37
3177-3092-88,ATLAS,1A,2,0,6.58
3217-8762-03,ATLAS,1A,1,0,73.12
0500-4500-61,ATLAS,1A,2,0,74.9
3115-0212-00,ATLAS,1A,3,0,75.4
3115-0297-01,ATLAS,1A,2,0,368.74
3115-0297-02,ATLAS,1A,2,0,2012.82
3115-0297-03,ATLAS,1A,2,0,0
3217-9206-82,ATLAS,1A,1,0,0
3217-8667-52,ATLAS,1A,1,0,3737
3222324583,ATLAS,1A,0,0,7
367100011,ATLAS,1A,0,0,240
3222310926,ATLAS,1A,1,0,290.04
3222305280,ATLAS,1A,1,0,0
3222334206,ATLAS,1A,0,0,974
3222331018,ATLAS,1A,1,0,169
3222343531,ATLAS,1A,0,0,123
3222330283,ATLAS,1A,1,0,203
3222333998,ATLAS,1A,0,0,83
3222334003,ATLAS,1A,0,0,653.58
3176602300,ATLAS,1A,0,0,6
3222324914,ATLAS,1A,0,0,30
3176667000,ATLAS,1A,1,0,951
211196085,ATLAS,1A,8,0,3
3215512800,ATLAS,1A,1,0,3076
3222310225,ATLAS,1A,2,0,6
147139803,ATLAS,1A,2,0,164
3222325111,ATLAS,1A,1,0,1094.11
3315019508,ATLAS,1A,1,0,80.88
3222325362,ATLAS,1A,1,0,214.04
3222316982,ATLAS,1A,1,0,267.02
85769309,SDVK,1A,1,0,272.93
81805849,SDVK,1A,1,0,79.92
9084548,SDVK,1A,1,0,27.11
9030038,SDVK,1A,1,0,191.81
81816349,SDVK,1A,2,0,69.85
86873169,SDVK,1A,2,0,110.85
