"cod_articulo","numero_proveedor","numero_deposito","cantidad","p_pesos","p_dolar"
"3115-0297-02","ATLAS","1A","2","0.00","2,012.82"
"3115-0297-03","ATLAS","1A","2","0.00","0.00"
"3217-9206-82","ATLAS","1A","1","0.00","0.00"
"3217-8667-52","ATLAS","1A","1","0.00","3,737.00"
"3222324583","ATLAS","1A","0","0.00","7.00"
"367100011","ATLAS","1A","0","0.00","240.00"
"3222310926","ATLAS","1A","1","0.00","290.04"
"3222305280","ATLAS","1A","1","0.00","0.00"
"3222334206","ATLAS","1A","0","0.00","974.00"
"3222331018","ATLAS","1A","1","0.00","169.00"
"3222343531","ATLAS","1A","0","0.00","123.00"
"3222330283","ATLAS","1A","1","0.00","203.00"
"3222333998","ATLAS","1A","0","0.00","83.00"
"3222334003","ATLAS","1A","0","0.00","653.58"
"3176602300","ATLAS","1A","0","0.00","6.00"
"3222324914","ATLAS","1A","0","0.00","30.00"
"3176667000","ATLAS","1A","1","0.00","951.00"
"211196085","ATLAS","1A","8","0.00","3.00"
"3215512800","ATLAS","1A","1","0.00","3,076.00"
"3222310225","ATLAS","1A","2","0.00","6.00"
"147139803","ATLAS","1A","2","0.00","164.00"
"3222325111","ATLAS","1A","1","0.00","1,094.11"
"3315019508","ATLAS","1A","1","0.00","80.88"
"3222325362","ATLAS","1A","1","0.00","214.04"
"3222316982","ATLAS","1A","1","0.00","267.02"
"85769309","SDVK","1A","1","0.00","272.93"
"81805849","SDVK","1A","1","0.00","79.92"
"9084548","SDVK","1A","1","0.00","27.11"
"9030038","SDVK","1A","1","0.00","191.81"
"81816349","SDVK","1A","2","0.00","69.85"
"86873169","SDVK","1A","2","0.00","110.85"
"86774299","SDVK","1A","0","0.00","67.99"
"15235798","SDVK","1A","17","0.00","840.27"
"15225488","SDVK","1A","14","0.00","223.78"
"80759069","SDVK","1A","8","0.00","601.50"
"55025900","SDVK","1A","8","0.00","2,375.81"
"88630449","SDVK","1A","8","0.00","871.75"
"62392418","SDVK","1A","0","0.00","42.17"
"55002895","SDVK","1A","0","0.00","609.46"
"23501198","SDVK","1A","1","0.00","403.84"
"55024054","SDVK","1A","1","0.00","33.01"
"23503238","SDVK","1A","1","0.00","157.16"
"55012389","SDVK","1A","1","0.00","259.08"
"86663119","SDVK","1A","2","0.00","52.07"
"85119609","SDVK","1A","6","0.00","35.56"
"55026014","SDVK","1A","1","0.00","69.85"
"15252288","SDVK","1A","1","0.00","78.74"
"15252308","SDVK","1A","1","0.00","139.70"
"55026797","SDVK","1A","1","0.00","190.50"
"55026798","SDVK","1A","1","0.00","69.85"
"15226648","SDVK","1A","1","0.00","86.36"
"15251968","SDVK","1A","1","0.00","172.72"
"15412858","SDVK","1A","1","0.00","13.97"
"23508158","SDVK","1A","1","0.00","21.59"
"23501628","SDVK","1A","1","0.00","35.56"
"23501348","SDVK","1A","1","0.00","86.36"
"13488718","SDVK","1A","4","0.00","129.54"
"88177759","SDVK","1A","1","0.00","129.54"
"55004352","SDVK","1A","1","0.00","215.59"
"3267728","SDVK","1A","8","0.00","207.01"
"86727289","SDVK","1A","2","0.00","254.00"
"55026146","SDVK","1A","1","0.00","101.60"
"55026124","SDVK","1A","1","0.00","177.80"
"55025889","SDVK","1A","1","0.00","63.50"
"55026796","SDVK","1A","1","0.00","190.50"
"55020792","SDVK","1A","1","0.00","381.00"
"15068938","SDVK","1A","1","0.00","86.36"
"55020793","SDVK","1A","1","0.00","571.50"
"55026123","SDVK","1A","1","0.00","698.50"
"55026799","SDVK","1A","1","0.00","165.10"
"15414188","SDVK","1A","1","0.00","533.40"
"9704908","SDVK","1A","1","0.00","273.05"
"9256478","SDVK","1A","1","0.00","215.90"
"9705508","SDVK","1A","1","0.00","76.20"
"9671418","SDVK","1A","1","0.00","0.00"
"15413458","SDVK","1A","1","0.00","689.00"
"88645009","SDVK","1A","1","0.00","135.58"
"02250057-036","SULL","1A","0","0.00","426.85"
"250041-081","SULL","1A","1","0.00","1.07"
"2572015","F.CAT","1A","1","0.00","1.02"
"2237852","F.CAT","1A","1","0.00","229.02"
"9M1974","F.CAT","1A","30","0.00","70.74"
"9X8256","F.CAT","1A","5","0.00","500.66"
"2264755","F.CAT","1A","1","0.00","43.62"
"1178801","F.CAT","1A","1","0.00","32,000.00"
"VU087","VULKANO","1A","2","0.00","2,671.60"
"VU113","VULKANO","1A","3","0.00","557.75"
"QSB6.7","CUMMINS","1A","0","0.00","48.59"
"1250065404","EPICROC","1A","1","0.00","429.58"
"OLI-243","OLI","1A","2","0.00","0.00"
"OLI-244","OLI","1A","3","0.00","3,121.80"
"OLI-CA 280","OLI","1A","3","0.00","0.00"
"NA00026","TOYOTA","1A","1","0.00","0.00"
"373-2789","CAT","1A","1","0.00","0.22"
"520-1511","CAT","1A","1","0.00","0.00"
"5201511 X","N/A","1A","1","0.00","0.00"
"NA00027","COFECO","1A","50","0.00","0.00"
"2874863","ELECTROMOVIL","1A","2","0.00","0.00"
"ABRAZADERA-01","N/A","1B","2","0.00","0.00"
"ABRAZADERA-02","N/A","1B","21","0.00","0.00"
"ABRAZADERA-03","N/A","1B","14","0.00","0.00"
"ABRAZADERA-04","N/A","1B","3","0.00","0.00"
"ABRAZADERA-05","N/A","1B","2","0.00","0.00"
"ABRAZADERA-06","N/A","1B","1","0.00","0.00"
"ABRAZADERA-07","N/A","1B","2","0.00","0.00"
"ABRAZADERA-08","N/A","1B","7","0.00","0.00"
"ABRAZADERA-09","N/A","1B","1","0.00","0.00"
"ABRAZADERA-10","N/A","1B","2","0.00","0.00"
"ACOPLE-01","N/A","1B","18","0.00","0.00"
"ACOPLE-02","N/A","1B","9","0.00","0.00"
"ACOPLE-03","N/A","1B","1","0.00","0.00"
"ACOPLE-04","N/A","1B","2","0.00","0.00"
"ACOPLE-05","N/A","1B","1","0.00","0.00"
"ACOPLE-06","N/A","1B","1","0.00","0.00"
"ACOPLE-07","N/A","1B","1","0.00","0.00"
"ADAPT-01","N/A","1B","1","0.00","0.00"
"ADAPT-02","N/A","1B","2","0.00","0.00"
"ADAPT-03","N/A","1B","1","0.00","0.00"
"ADAPT-04","N/A","1B","1","0.00","0.00"
"ADAPT-05","N/A","1B","3","0.00","0.00"
"ADAPT-06","N/A","1B","5","0.00","0.00"
"SC-03","N/A","1B","1","0.00","0.00"
"BARRAINI-01","N/A","1B","1","0.00","0.00"
"BARRAINI-02","N/A","1B","3","0.00","0.00"
"BARRAINI-03","N/A","1B","6","0.00","0.00"
"BARRAINI-04","N/A","1B","9","0.00","0.00"
"BARRAINI-05","N/A","1B","3","0.00","0.00"
"BARRAINI-06","N/A","1B","1","0.00","0.00"
"BARRAINI-07","N/A","1B","11","0.00","0.00"
"BARRAINI-08","N/A","1B","4","0.00","0.00"
"BARRAINI-09","N/A","1B","2","0.00","0.00"
"BARRAINI-10","N/A","1B","3","0.00","0.00"
"BARRAINI-11","N/A","1B","4","0.00","0.00"
"BARRAINI-12","N/A","1B","4","0.00","0.00"
"BARRAINI-13","N/A","1B","1","0.00","0.00"
"BARRAPERF-01","N/A","1B","1","0.00","0.00"
"BARRAPERF-02","N/A","1B","1","0.00","0.00"
"BARRAPERF-03","N/A","1B","1","0.00","0.00"
"BARRAPERF-04","N/A","1B","1","0.00","0.00"
"BARRAPERF-05","N/A","1B","4","0.00","0.00"
"BARRAPERF-06","N/A","1B","3","0.00","0.00"
"BARRAPERF-07","N/A","1B","5","0.00","0.00"
"BARRAPERF-08","N/A","1B","18","0.00","0.00"
"BARRAPERF-09","N/A","1B","3","0.00","0.00"
"BARRAPERF-10","N/A","1B","5","0.00","0.00"
"BARRAPERF-11","N/A","1B","2","0.00","0.00"
"BARRAPERF-12","N/A","1B","10","0.00","0.00"
"BARRAPERF-13","N/A","1B","6","0.00","0.00"
"BARRAPERF-14","N/A","1B","1","0.00","0.00"
"BARRAPERF-15","N/A","1B","2","0.00","0.00"
"BARRAPERF-16","N/A","1B","4","0.00","0.00"
"BARRAPERF-17","N/A","1B","1","0.00","0.00"
"BARRAPERF-18","N/A","1B","1","0.00","0.00"
"BARRAPERF-19","N/A","1B","12","0.00","0.00"
"BARRAPERF-20","N/A","1B","4","0.00","0.00"
"BARRAPERF-21","N/A","1B","10","0.00","0.00"
"BARRAPERF-22","N/A","1B","9","0.00","0.00"
"BARRAPERF-23","N/A","1B","27","0.00","0.00"
"BARRAPERF-24","N/A","1B","3","0.00","0.00"
"BARRAPERF-25","N/A","1B","7","0.00","0.00"
"BARRENO-01","N/A","1B","4","0.00","0.00"
"BARRENO-02","N/A","1B","1","0.00","0.00"
"BARRENO-03","N/A","1B","12","0.00","0.00"
"BARRENO-04","N/A","1B","4","0.00","0.00"
"BARRENO-05","N/A","1B","21","0.00","0.00"
"BARRENO-06","N/A","1B","2","0.00","0.00"
"BARRENO-07","N/A","1B","1","0.00","0.00"
"BARRETA","N/A","1B","1","0.00","0.00"
"BIFUR-01","N/A","1B","1","0.00","0.00"
"BIFUR-02","N/A","1B","1","0.00","0.00"
