"codigo,""descripcion"",""unidad_medida"",""tipo"""
"017202-03011,""FUEL SENDING UNIT (TANQUE COMBUSTIBLE)"",""UNIDAD"",""REPUESTOS"""
"ZN215-12017,""RELOJ DE PRESION"",""UNIDAD"",""REPUESTOS"""
"017602-060040,""BOX LEVEL SWITCH"",""UNIDAD"",""REPUESTOS"""
"160021-00100,""O´RING"",""UNIDAD"",""REPUESTOS"""
"084603-04016,""ELEMENT"",""UNIDAD"",""REPUESTOS"""
"040300-08011,""VALVULA REDUCING"",""UNIDAD"",""REPUESTOS"""
"040300-08012,""VALVULA RELIEF"",""UNIDAD"",""REPUESTOS"""
"940300-07001,""REMOTE CONTROL"",""UNIDAD"",""REPUESTOS"""
"040300-07021,""VALVULA REDUCING"",""UNIDAD"",""REPUESTOS"""
"040300-07020,""VALVULA RELIEF"",""UNIDAD"",""REPUESTOS"""
"940304-13001,""PILOT VALVE"",""UNIDAD"",""REPUESTOS"""
"023106-03005,""TIMER"",""UNIDAD"",""REPUESTOS"""
"023106-03028,""TIMER"",""UNIDAD"",""REPUESTOS"""
"040504-04015,""SENSOR TEMPERATURA UNIDAD COMPRESORA"",""UNIDAD"",""REPUESTOS"""
"081300-05032,""MORDAZAS T51"",""UNIDAD"",""REPUESTOS"""
"081300-05032,""MORDAZAS T38"",""UNIDAD"",""REPUESTOS"""
"080203-03021,""PLATE STOPPER T45"",""UNIDAD"",""REPUESTOS"""
"080203-03021,""PLATE STOPPER T51"",""UNIDAD"",""REPUESTOS"""
"080203-03021,""PLATE STOPPER T38"",""UNIDAD"",""REPUESTOS"""
"022003-04010,""RELAY BATTERY"",""UNIDAD"",""REPUESTOS"""
"040504-070036,""RELAY, MINI POWER"",""UNIDAD"",""REPUESTOS"""
"040504-070700,""INPUT UNIT"",""UNIDAD"",""REPUESTOS"""
"024206-05015,""TIMER"",""UNIDAD"",""REPUESTOS"""
"040123-070030,""SEAL KIT"",""UNIDAD"",""REPUESTOS"""
"080204-03033,""PIN"",""UNIDAD"",""REPUESTOS"""
"084801-10000,""ADAPTER MALE 1"""" (COLUMNA)"",""UNIDAD"",""REPUESTOS"""
"084801-06000,""ADAPTER MALE 3/4"""" (COLUMNA)"",""UNIDAD"",""REPUESTOS"""
"084801-04000,""ADAPTER MALE 3/8"""" (COLIMNA)"",""UNIDAD"",""REPUESTOS"""
"HD 712-02104,""RODAMIENTO PLANO- TORRINGTON- BUJE CENTRAL"",""UNIDAD"",""REPUESTOS"""
"HD 612-07006,""DIAFRAGMA MARTILLO"",""UNIDAD"",""REPUESTOS"""
"HD712-99116,""KIT SELLOS MARTILLO FRD HD 712"",""UNIDAD"",""REPUESTOS"""
"HD712-02204,""BUSH FRONT"",""UNIDAD"",""REPUESTOS"""
"HD712-02347,""･WASHER,THRUST"",""UNIDAD"",""REPUESTOS"""
"280100-06211,""BEARING, BALL"",""UNIDAD"",""REPUESTOS"""
"HD712-02004,""BEARING, PLAIN (RB)"",""UNIDAD"",""REPUESTOS"""
"HD712-02025,""BUSH, CHUCK DRIVER"",""UNIDAD"",""REPUESTOS"""
"HD712-01528,""PISTON, PUSHING"",""UNIDAD"",""REPUESTOS"""
"HD715-99157,""MOTOR SEAL KIT"",""UNIDAD"",""REPUESTOS"""
"HD712-01101,""PISTON"",""UNIDAD"",""REPUESTOS"""
"HD712-01012,""BUSH (F)"",""UNIDAD"",""REPUESTOS"""
"HD712-01049,""RETAINER, SEAL (R)"",""UNIDAD"",""REPUESTOS"""
"HD712-02009,""CHUCK"",""UNIDAD"",""REPUESTOS"""
"HD712-02023,""BEARING, PLAIN (RC)"",""UNIDAD"",""REPUESTOS"""
"HD712-02104,""BEARING, PLAIN (F)"",""UNIDAD"",""REPUESTOS"""
"HD712-02343,""･PISTON,DAMPING"",""UNIDAD"",""REPUESTOS"""
"HD712-02350,""･BEARING,PLAIN"",""UNIDAD"",""REPUESTOS"""
"HD712-02203,""BODY SWIVEL"",""UNIDAD"",""REPUESTOS"""
"HD715-06013,""BOLT SOCKET"",""UNIDAD"",""REPUESTOS"""
"HD715-03605,""NUT"",""UNIDAD"",""REPUESTOS"""
"HD612-03612,""BOLT SET"",""UNIDAD"",""REPUESTOS"""
"HD612-03601,""BOLT THROUGH"",""UNIDAD"",""REPUESTOS"""
"HD712-01527,""PISTON, DAMPING"",""UNIDAD"",""REPUESTOS"""
"HD712-03601,""BOLT"",""UNIDAD"",""REPUESTOS"""
"HD712-03602,""NUT"",""UNIDAD"",""REPUESTOS"""
"HD715-03606,""BOLT"",""UNIDAD"",""REPUESTOS"""
"HD712-01068,""VALVE"",""UNIDAD"",""REPUESTOS"""
"HD712-02003,""DRIVER CHUCK"",""UNIDAD"",""REPUESTOS"""
"HD715-01068,""PLUG"",""UNIDAD"",""REPUESTOS"""
"HD715-02007,""GEAR DRIVE"",""UNIDAD"",""REPUESTOS"""
"HD712-02103,""WASHER THRUST"",""UNIDAD"",""REPUESTOS"""
"HD712-02346,""RETAINER SEAL"",""UNIDAD"",""REPUESTOS"""
"HD712-01040,""RETAINER SEAL (F)"",""UNIDAD"",""REPUESTOS"""
"02501-200060,""PLAIN BEARING (RB)"",""UNIDAD"",""REPUESTOS"""
"102032-20085,""BOLT SOCKET"",""UNIDAD"",""REPUESTOS"""
"NA00001,""CAJA DE CADENA DE MARTILLO FRD - SKF X 3,05MTS"",""UNIDAD"",""REPUESTOS"""
"025105-01033,""PRESSURE GAUGE"",""UNIDAD"",""REPUESTOS"""
"040123-070020,""PUMP GEAR"",""UNIDAD"",""REPUESTOS"""
