CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
10250138,unidad,BIT-DRILL-10.75 MM-CYLDRCL-HSS-GR M2,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 10.75 MM
10252454,unidad,BIT-DRILL-11 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 11 MM
10251301,unidad,BIT-DRILL-11.25 MM-CYLDRCL-HSS-GR M2,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 11.25 MM
10251667,unidad,BIT-DRILL-11.5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 11.5 MM
10251302,unidad,BIT-DRILL-11.75 MM-CYLDRCL-HSS-GR M2,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 11.75 MM
10251303,unidad,BIT-DRILL-12 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 12 MM
10252455,unidad,BIT-DRILL-12.25 MM-CYLDRCL-HSS-GR M2,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 12.25 MM
10250139,unidad,BIT-DRILL-13 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 13 MM
10251668,unidad,BIT-DRILL-13.5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 13.5 MM
10251669,unidad,BIT-DRILL-14 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 14 MM
10250140,unidad,BIT-DRILL-14.25 MM-CYLDRCL-HSS-GR M2,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 14.25 MM
10250141,unidad,BIT-DRILL-14.75 MM-CYLDRCL-HSS-GR M2,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 14.75 MM
10252456,unidad,BIT-DRILL-15 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 15 MM
10251304,unidad,BIT-DRILL-15.5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 15.5 MM
10275465,bolsa,INSECTICIDE-DIATOMACEOUS ERTH,TIERRA DIATOMEA- DIACTIV 12- BOLSA X 22.7 KG
10252489,unidad,SCREW-4795 MM-200 MM,TORNILLO- SIN FIN- PASO- 200 MM- DIAM- 200 MM- LONG- 4795 MM
10251430,unidad,EXTINGUISHER-FIRE-A-B-C-1 KG,EXTINTOR- TIPO- ABC X 1KG- PARA VEHICULOS LIVIANOS
10252573,unidad,REFRIGERANT-GAS-REF-R-134A X 30 LB-BTL,GAS REFRIGERANTE- R-134A- GARRAFA X 30 LB
10276427,bolsa,ABSORBENT-SPILL CLNG-PAD,MATERIAL ABSORBENTE- LIMPIEZA DERRAME- ABSORBENTE- PAÑO 0-38X0-5 X 100 UND- BOLSON
10276428,unidad,ABSORBENT-BOOM-OIL-8 IN DIA X 10 FT LG,CORDON- ABSORBENTE DE HIDROCARBUROS- MODELO- T-270- MARCA- 3M
10276429,bolsa,INSECTICIDE-DIATOMACEOUS ERTH-25 KG BAG,TIERRA DIATOMEA- BOLSA X 25KG
10252585,unidad,ABSORBENT-SPILL CLNG-ROL,MATERIAL ABSORBENTE- LIMPIEZA DERRAME- ABSORBENTE DE HIDROCARBURO ROLLO 1 X 50- MTS
10254891,unidad,EXTINGUISHER-FIRE-A-B-C-10 KG,EXTINTOR- TIPO- ABC X 10 KG
10250303,unidad,EXTINGUISHER-FIRE-A-B-C-5 KG,EXTINTOR- TIPO- ABC X 5 KG
10252598,unidad,EXTINGUISHER-FIRE-RECHARGE-10 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 10 KG
10250304,unidad,EXTINGUISHER-FIRE-RECHARGE-5 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 5 KG
10252599,unidad,EXTINGUISHER-FIRE-C DXDE-10 KG,EXTINTOR- CO2- 10 KG- CON MANGUERA DE DESCARGA Y CONO AMPLIO
10276438,unidad,EXTINGUISHER-FIRE-1 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 1 KG
10250305,unidad,EXTINGUISHER-FIRE-RECHARGE-25 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 25 KG
10254892,unidad,EXTINGUISHER-FIRE-RECHARGE-73 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 73 KG
10254893,unidad,EXTINGUISHER-FIRE-RECHARGE-5 L,RECARGA- EXTINTOR- USO COCINAS- TIPO- A-B-C-K X 5LT- CARGA- ACETATO DE POTASIO
10254894,unidad,EXTINGUISHER-FIRE-RECHARGE-50 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 50 KG
10254895,unidad,EXTINGUISHER-FIRE-RECHARGE-2.5 KG,RECARGA- EXTINTOR- TIPO- ABC X 2.5 KG- CHATO
10252600,unidad,EXTINGUISHER-FIRE-RECHARGE-5 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 5 KG- HCFC
10251456,unidad,EXTINGUISHER-FIRE-C DXDE-RECHARGE-7 KG,RECARGA- EXTINTOR- TIPO- BC X 7 KG- CO2
10276439,unidad,EXTINGUISHER-FIRE-10 KG-RECHARGE,RECARGA- EXTINTOR- TIPO- D X 10 KG
10276440,unidad,EXTINGUISHER-FIRE-5 KG-TYP D-RECHARGE KG,RECARGA- EXTINTOR- TIPO- D X 5 KG
10252601,unidad,EXTINGUISHER-FIRE-C DXDE-RECHARGE-10 KG,RECARGA- EXTINTOR- TIPO- BC X 10 KG- CO2
10251457,unidad,EXTINGUISHER-FIRE-C DXDE-RECHARGE-5 KG,RECARGA- EXTINTOR- TIPO- BC X 5 KG- CO2
10254896,unidad,EXTINGUISHER-FIRE-RECHARGE-6 KG,RECARGA- EXTINTOR- TIPO- ABCK X 6 KG- PQS
10250307,unidad,CHARGER-EXTINTOR-TYP-ABCK X 10 KG,RECARGA- EXTINTOR- TIPO- ABCK X 10 KG- C/ SELLO IRAM
10252602,unidad,EXTINGUISHER-FIRE-RECHARGE-10 KG-TYP ABC,RECARGA- EXTINTOR- TIPO- ABC X 10 KG- HCFC
10250308,unidad,EXTINGUISHER-FIRE-RECHARGE-10 L-TYP AFFF,RECARGA- EXTINTOR- TIPO- AFFF X 10 LT
10276457,kg,CHEMICAL-ROAD SALT-50 KG BAG,SAL PARA CAMINOS- BOLSA X 50KG (1000 A 1200KG POR PALLET)
10251481,unidad,DOOR-ACCS-HNDL-4 IN-CHRM 4IN POCAHONTAS,PUERTA- ACCESO- PICAPORTE CROMO 4IN PARA PUERTA POCAHONTAS- 4IN
10276464,unidad,BOARD-4 X 8 IN-5/8 IN,PLANCHA DE PARED- DE YESO- PLANCHA DE YESO CARTON RF- 5/8IN- 4IN- 8IN- VENICE WATER COLOR
10276465,unidad,SHEET-1.5 MM-FLT-GRA,ROLLO DE PISO- VINILICO- ESPESOR- 1.5 MM- COLOR- GRIS- CODIGO 9340
