codigo,descripcion,unidad_medida,tipo
MAN-38,Guantes de Nitrilo Amarillo - Poliéster bañando en látex Corrugado - Talle 10,Unidades,Manos
MAN-39,Guantes de Nitrilo Amarillo - Poliéster bañando en látex Corrugado - Talle 09,Unidades,Manos
MAN-40,Guantes de Nitrilo Amarillo - Poliéster bañando en látex Corrugado - Talle 08,Unidades,Manos
MAN-02,Guante de Acrilonitrilo Verde - Talle 10,Unidades,Manos
OCU-03,Anteojos de seguridad - Marca Libus Ecoline - Claros,Unidades,Ocular 
OCU-04,Anteojos de seguridad - Marca Libus Ecoline - Oscuros,Unidades,Ocular 
ROP-35,Chaleco Gabardina - Talle XXL,Unidades,Ropa de Trabajo 
VAR-13,Tyvek KLEENGUARD  A40  - Talle 2XL ,Unidades,Varios
VAR-14,Tyvek KLEENGUARD  A40  - Talle 3XL ,Unidades,Varios
VAR-15,Tyvek KLEENGUARD  A40  - Talle L ,Unidades,Varios
VAR-16,Tyvek KLEENGUARD  A40  - Talle XL ,Unidades,Varios
FAC-05,Protector solar Dermaglos FPS 65 por 90gl,Unidades,Facial
FAC-07,Protector solar labial Nivea  FPS 30,Unidades,Facial
CRA-09,Casco Libus Millenium Amarillos,Unidades,Craneal
CRA-10,Casco Libus Millenium Azul,Unidades,Craneal
CRA-11,Casco Libus Millenium Blancos,Unidades,Craneal
CRA-03,Arnes para casco LIBUS  Millenium CLASS S/V - Cremallera  ,Unidades,Craneal
CAL-55,Granpones -  Snowsun - Talle XXL,Unidades,Calzado
