codigo,marca,modelo,tipo,descripcion,panol
AL 8324,N/A,voss2000,Manuales,Fratacho plástico para grueso reforzado,Pañol Veladero
AL 8325,N/A,voss2000,Manuales,Fratacho plástico para grueso reforzado,Pañol Veladero
AL 8414,Bremen,"3"" 76mm",Manuales,Espátula de madera,Pañol Veladero
AL 8415,Bremen,"3"" 76mm",Manuales,Espátula de madera,Pañol Veladero
AL 8416,Bremen,"3"" 76mm",Manuales,Espátula de madera,Pañol Veladero
AL 8417,N/A,aluminio,Manuales,Par zapata para escaleras extensible de fibra o aluminio,Pañol Veladero
AL 8418,N/A,aluminio,Manuales,Par zapata para escaleras extensible de fibra o aluminio,Pañol Veladero
AL 8424,S3,9mm,Manuales,Destapa cañería de plastico,Pañol Veladero
AL 8425,S3,9mm,Manuales,Destapa cañería de plastico,Pañol Veladero
AL 8426,Total,tb20036-4,Eléctricas,Pistola de calor,Pañol Veladero
AL 8427,Total,tb20036-4,Eléctricas,Pistola de calor,Pañol Veladero
AL 8428,Difebroc,widia,De Corte,Lápiz para cortar cerámico,Pañol Veladero
AL 8429,Difebroc,widia,De Corte,Lápiz para cortar cerámico,Pañol Veladero
AL 8453,Govex,dieléctrico clase 00,Manuales,Guantes dieléctricos,Pañol Veladero
AL 8454,Govex,dieléctrico clase 01,Manuales,Guantes dieléctricos,Pañol Veladero
AL 8455,Uni-T,UT216C,Medición,Pinza amperométrica,Pañol Veladero
AL 8457,Bahco,240mm,Manuales,Pico de loro,Pañol Veladero
AL 8458,Bahco,240mm,Manuales,Pico de loro,Pañol Veladero
AL 8459,Bahco,240mm,Manuales,Pico de loro,Pañol Veladero
AL 8460,Crossmaster,300mm,Manuales,Escuadra de aluminio,Pañol Veladero
AL 8461,Crossmaster,300mm,Manuales,Escuadra de aluminio,Pañol Veladero
AL 8462,Crossmaster,300mm,Manuales,Escuadra de aluminio,Pañol Veladero
AL 8463,Crossmaster,300mm,Manuales,Escuadra de aluminio,Pañol Veladero
AL 8464,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8465,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8466,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8467,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8468,Bremen,ph2 doble (philips),Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8472,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8473,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8474,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8475,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8476,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8477,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8478,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8479,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8480,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8481,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8482,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8483,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8484,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8485,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8486,Sekur,grupal,Manuales,Tijera de bloqueo,Pañol Veladero
AL 8487,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8488,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8489,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8490,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8491,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8492,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8493,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8494,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8495,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8496,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8497,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8498,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8499,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8500,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8501,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8502,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8503,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8504,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8505,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8506,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8507,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8508,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8509,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8510,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8511,Workpro,250mm,De Corte,Tijera corta lata,Pañol Veladero
AL 8512,Workpro,250mm,De Corte,Tijera corta lata,Pañol Veladero
AL 8513,Crossmaster,"10"" 254mm",De Corte,Tijera corta lata con empuñadora,Pañol Veladero
AL 8514,Crossmaster,"10"" 254mm",De Corte,Tijera corta lata con empuñadora,Pañol Veladero
AL 8515,N/A,92cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8516,N/A,92cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8517,N/A,92cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8518,N/A,92cm,Manuales,Cabo de madera para pico pala,Pañol Veladero
AL 8519,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8520,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8521,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8522,N/A,135 cm,Manuales,Cabo de madera para azadón,Pañol Veladero
AL 8523,Mota,N/A,Manuales,Boquilla para camión,Pañol Veladero
AL 8524,Mota,N/A,Manuales,Boquilla para camión,Pañol Veladero
AL 8525,Hamilton,encastre 1/4,Manuales,Juego de brocas,Pañol Veladero
AL 8526,Interlec,sol -60w,Eléctricas,Soldador,Pañol Veladero
AL 8527,Apolo,X-Urban,Manuales,Arnes de 3 puntos,Pañol Veladero
AL 8528,Apolo,X-Urban,Manuales,Arnes de 3 puntos,Pañol Veladero
AL 8529,Apolo,X-Urban,Manuales,Arnes de 3 puntos,Pañol Veladero
AL 8530,Apolo,X-Urban,Manuales,Arnes de 3 puntos,Pañol Veladero
AL 8531,Apolo,Regulable de 2m,Manuales,Cola de amarre,Pañol Veladero
AL 8532,Apolo,Regulable de 2m,Manuales,Cola de amarre,Pañol Veladero
AL 8533,Apolo,Regulable de 2m,Manuales,Cola de amarre,Pañol Veladero
AL 8534,Apolo,Regulable de 2m,Manuales,Cola de amarre,Pañol Veladero
AL 8535,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8536,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8537,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8538,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8539,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8540,N/A,N/A,Manuales,Cabo de madera para martillo,Pañol Veladero
AL 8541,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8542,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8543,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8544,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8545,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8546,N/A,N/A,Manuales,Cabo de madera para maza,Pañol Veladero
AL 8559,Yale,110-30,Manuales,Candado Italiano,Pañol Veladero
AL 8560,Yale,110-30,Manuales,Candado Italiano,Pañol Veladero
AL 8561,Yale,110-30,Manuales,Candado Italiano,Pañol Veladero
AL 8562,Yale,110-30,Manuales,Candado Italiano,Pañol Veladero
AL 8565,Makita,9557hp 840w,Eléctricas,"Amoladora de 4""",Pañol Veladero
AL 8566,Makita,23,Eléctricas,"Amoladora de 4""",Pañol Veladero
AL 8567,Total,Tg111165-4,Eléctricas,Taladro impact drill,Pañol Veladero
AL 8568,Hamilton,ult111,Eléctricas,Taladro a batería c/percutor,Pañol Veladero
AL 8569,Versubio,d3 270w,Eléctricas,Soldador instantáneo tipo pistola,Pañol Veladero
AL 8571,IPS,75 mm,Manuales,Boquilla m/h,Pañol Veladero
AL 8572,IPS,90 mm,Manuales,Boquilla m/h,Pañol Veladero
AL 8578,Total,tagli 1151,Inalámbricas,"Amoladora de 4"" inalámbrica",Pañol Veladero
