CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN
0001-1406-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1408-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1409-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1417-410,UN,SENSOR DE VALOR DE MEDICIÓN
0001-1420-410,UN,SENSOR DE VALOR DE MEDICIÓN
0001-1421-410,UN,SENSOR DE VALOR DE MEDICIÓN
0001-1423-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1426-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1432-600,UN,TRANSDUCTOR DE PRESIÓN
0001-1433-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1433-600,UN,TRANSDUCTOR DE PRESIÓN
0001-1434-300,UN,LINTERNA DE LA MIRILLA
0001-1436-300,UN,MIRILLA
0001-1440-410,UN,CAUDALÍMETRO
0001-1441-410,UN,CAUDALÍMETRO
0001-1442-410,UN,CAUDALÍMETRO
0001-1443-410,UN,CAUDALÍMETRO
0001-1444-410,UN,CAUDALÍMETRO
0001-1447-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1448-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1450-410,UN,CAUDALÍMETRO
0001-1451-410,UN,CAUDALÍMETRO
0001-1452-410,UN,CAUDALÍMETRO
0001-1454-410,UN,CAUDALÍMETRO
0001-1455-410,UN,CAUDALÍMETRO
0001-1456-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1457-800,UN,MIRILLA
0001-1460-820,UN,MIRILLA CILÍNDRICA
0001-1466-410,UN,TUERCA RACOR RANURADA
0001-1466-850,UN,JUNTA
0001-1468-820,UN,MIRILLA DE INSPECCIÓN
0001-1469-600,UN,AMORTIGUADOR DE GOLPES DE PRESIÓN
0001-1472-010,UN,BRIDA
0001-1473-010,UN,BRIDA
0001-1474-010,UN,BRIDA
0001-1476-410,UN,CAUDALÍMETRO
0001-1477-410,UN,CAUDALÍMETRO
0001-1479-400,UN,FLUIDÓMETRO
0001-1479-800,UN,TUBO GRADUADO
0001-1489-280,UN,TERMÓMETRO DE MAQUINA
0001-1496-000,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1499-000,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1500-000,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
